Batch	m_SP	8	W1_L	R	P1	P2	P3	P4	P5	P6													
0.02361477	1.0000000624	0.1	0.02361477	0.0	0.1	0.02361477	0.0	0.1	0.02361477	0.0	0.1	0.02361477	0.0	0.1	0.02361477	0.0	0.1	0.02361477	0.0	0.1	0.02361477	0.0	0.1
0.02580535	0.9999998919099999	0.1	0.02580535	0.0	0.1	0.02580535	0.0	0.1	0.02580535	0.0	0.1	0.02580535	0.0	0.1	0.02580535	0.0	0.1	0.02580535	0.0	0.1	0.02580535	0.0	0.1
0.02833977	1.00000002515	0.1	0.02833977	0.0	0.1	0.02833977	0.0	0.1	0.02833977	0.0	0.1	0.02833977	0.0	0.1	0.02833977	0.0	0.1	0.02833977	0.0	0.1	0.02833977	0.0	0.1
0.03087419	1.00000007808	0.1	0.03087419	0.0	0.1	0.03087419	0.0	0.1	0.03087419	0.0	0.1	0.03087419	0.0	0.1	0.03087419	0.0	0.1	0.03087419	0.0	0.1	0.03087419	0.0	0.1
0.03340861	1.00000000643	0.1	0.03340861	0.0	0.1	0.03340861	0.0	0.1	0.03340861	0.0	0.1	0.03340861	0.0	0.1	0.03340861	0.0	0.1	0.03340861	0.0	0.1	0.03340861	0.0	0.1
0.03594303	0.99999989902	0.1	0.03594303	0.0	0.1	0.03594303	0.0	0.1	0.03594303	0.0	0.1	0.03594303	0.0	0.1	0.03594303	0.0	0.1	0.03594303	0.0	0.1	0.03594303	0.0	0.1
0.03847745	0.9999999473500001	0.1	0.03847745	0.0	0.1	0.03847745	0.0	0.1	0.03847745	0.0	0.1	0.03847745	0.0	0.1	0.03847745	0.0	0.1	0.03847745	0.0	0.1	0.03847745	0.0	0.1
0.04152545	0.9999999669999999	0.1	0.04152545	0.0	0.1	0.04152545	0.0	0.1	0.04152545	0.0	0.1	0.04152545	0.0	0.1	0.04152545	0.0	0.1	0.04152545	0.0	0.1	0.04152545	0.0	0.1
0.04457345	0.9999999911299999	0.1	0.04457345	0.0	0.1	0.04457345	0.0	0.1	0.04457345	0.0	0.1	0.04457345	0.0	0.1	0.04457345	0.0	0.1	0.04457345	0.0	0.1	0.04457345	0.0	0.1
0.04762145	1.0000000392200001	0.1	0.04762145	0.0	0.1	0.04762145	0.0	0.1	0.04762145	0.0	0.1	0.04762145	0.0	0.1	0.04762145	0.0	0.1	0.04762145	0.0	0.1	0.04762145	0.0	0.1
0.05066945	1.0000000239	0.1	0.05066945	0.0	0.1	0.05066945	0.0	0.1	0.05066945	0.0	0.1	0.05066945	0.0	0.1	0.05066945	0.0	0.1	0.05066945	0.0	0.1	0.05066945	0.0	0.1
0.05371745	0.9999999804199999	0.1	0.05371745	0.0	0.1	0.05371745	0.0	0.1	0.05371745	0.0	0.1	0.05371745	0.0	0.1	0.05371745	0.0	0.1	0.05371745	0.0	0.1	0.05371745	0.0	0.1
0.05676545	0.9999999362800001	0.1	0.05676545	0.0	0.1	0.05676545	0.0	0.1	0.05676545	0.0	0.1	0.05676545	0.0	0.1	0.05676545	0.0	0.1	0.05676545	0.0	0.1	0.05676545	0.0	0.1
0.06030385	1.0000000333899999	0.1	0.06030385	0.0	0.1	0.06030385	0.0	0.1	0.06030385	0.0	0.1	0.06030385	0.0	0.1	0.06030385	0.0	0.1	0.06030385	0.0	0.1	0.06030385	0.0	0.1
0.06396484	0.99999999623	0.1	0.06396484	0.0	0.1	0.06396484	0.0	0.1	0.06396484	0.0	0.1	0.06396484	0.0	0.1	0.06396484	0.0	0.1	0.06396484	0.0	0.1	0.06396484	0.0	0.1
0.06762584	1.00000003641	0.1	0.06762584	0.0	0.1	0.06762584	0.0	0.1	0.06762584	0.0	0.1	0.06762584	0.0	0.1	0.06762584	0.0	0.1	0.06762584	0.0	0.1	0.06762584	0.0	0.1
0.07128683	0.9999999535599999	0.1	0.07128683	0.0	0.1	0.07128683	0.0	0.1	0.07128683	0.0	0.1	0.07128683	0.0	0.1	0.07128683	0.0	0.1	0.07128683	0.0	0.1	0.07128683	0.0	0.1
0.07494782	0.9999999592	0.1	0.07494782	0.0	0.1	0.07494782	0.0	0.1	0.07494782	0.0	0.1	0.07494782	0.0	0.1	0.07494782	0.0	0.1	0.07494782	0.0	0.1	0.07494782	0.0	0.1
0.07860882	1.00000002636	0.1	0.07860882	0.0	0.1	0.07860882	0.0	0.1	0.07860882	0.0	0.1	0.07860882	0.0	0.1	0.07860882	0.0	0.1	0.07860882	0.0	0.1	0.07860882	0.0	0.1
0.08300608	0.99999997851	0.1	0.08300608	0.0	0.1	0.08300608	0.0	0.1	0.08300608	0.0	0.1	0.08300608	0.0	0.1	0.08300608	0.0	0.1	0.08300608	0.0	0.1	0.08300608	0.0	0.1
