Batch	m_SP	11	W4_L	W2	W3	W6	R	P1	P2	P3	P4	P5	P6																			
0.0001193584	0.6753345	0.1	0.0001193584	3.866193e-08	0.1	0.0001193584	0.0002139638	0.1	0.0001193584	8.156063e-05	0.1	0.0001193584	0.001357999	0.1	0.0001193584	0.158918	0.1	0.0001193584	0.00163703	0.1	0.0001193584	0.0001982801	0.1	0.0001193584	9.186264e-06	0.1	0.0001193584	6.449332e-05	0.1	0.0001193584	1.535937e-10	0.1
0.0001319882	0.6504155	0.1	0.0001319882	3.970706e-08	0.1	0.0001319882	0.0002294268	0.1	0.0001319882	7.855372e-05	0.1	0.0001319882	0.00132289	0.1	0.0001319882	0.1714549	0.1	0.0001319882	0.00159459	0.1	0.0001319882	0.0001931422	0.1	0.0001319882	9.919985e-06	0.1	0.0001319882	6.282316e-05	0.1	0.0001319882	1.496238e-10	0.1
0.0001494126	0.618092	0.1	0.0001494126	4.10148e-08	0.1	0.0001494126	0.0002490314	0.1	0.0001494126	7.465335e-05	0.1	0.0001494126	0.001277081	0.1	0.0001494126	0.1877179	0.1	0.0001494126	0.001539215	0.1	0.0001494126	0.0001864386	0.1	0.0001494126	1.085571e-05	0.1	0.0001494126	6.064402e-05	0.1	0.0001494126	1.444441e-10	0.1
0.000171954	0.5794782	0.1	0.000171954	4.249852e-08	0.1	0.000171954	0.0002717089	0.1	0.000171954	6.999403e-05	0.1	0.000171954	0.001221919	0.1	0.000171954	0.2071472	0.1	0.000171954	0.001472534	0.1	0.000171954	0.0001783661	0.1	0.000171954	1.194324e-05	0.1	0.000171954	5.801992e-05	0.1	0.000171954	1.382069e-10	0.1
0.0002013287	0.5339394	0.1	0.0002013287	4.412326e-08	0.1	0.0002013287	0.0002972712	0.1	0.0002013287	6.449921e-05	0.1	0.0002013287	0.001156163	0.1	0.0002013287	0.2300634	0.1	0.0002013287	0.001393043	0.1	0.0002013287	0.000168743	0.1	0.0002013287	1.317007e-05	0.1	0.0002013287	5.489178e-05	0.1	0.0002013287	1.307718e-10	0.1
0.0002443909	0.475484	0.1	0.0002443909	4.597354e-08	0.1	0.0002443909	0.0003278598	0.1	0.0002443909	5.7446e-05	0.1	0.0002443909	0.001070428	0.1	0.0002443909	0.2594839	0.1	0.0002443909	0.001289394	0.1	0.0002443909	0.0001561954	0.1	0.0002443909	1.462432e-05	0.1	0.0002443909	5.081307e-05	0.1	0.0002443909	1.210778e-10	0.1
0.0003074826	0.4041711	0.1	0.0003074826	4.777932e-08	0.1	0.0003074826	0.0003609096	0.1	0.0003074826	4.884167e-05	0.1	0.0003074826	0.0009632714	0.1	0.0003074826	0.2953841	0.1	0.0003074826	0.001159836	0.1	0.0003074826	0.0001405116	0.1	0.0003074826	1.613795e-05	0.1	0.0003074826	4.571499e-05	0.1	0.0003074826	1.089618e-10	0.1
0.0003755817	0.341918	0.1	0.0003755817	4.881717e-08	0.1	0.0003755817	0.0003846715	0.1	0.0003755817	4.133065e-05	0.1	0.0003755817	0.0008666526	0.1	0.0003755817	0.3267337	0.1	0.0003755817	0.001043007	0.1	0.0003755817	0.000126369	0.1	0.0003755817	1.712737e-05	0.1	0.0003755817	4.111798e-05	0.1	0.0003755817	9.803738e-11	0.1
0.0004436808	0.2912434	0.1	0.0004436808	4.915751e-08	0.1	0.0004436808	0.0003992469	0.1	0.0004436808	3.52167e-05	0.1	0.0004436808	0.0007851138	0.1	0.0004436808	0.3522623	0.1	0.0004436808	0.0009444016	0.1	0.0004436808	0.0001144326	0.1	0.0004436808	1.762223e-05	0.1	0.0004436808	3.723819e-05	0.1	0.0004436808	8.881817e-11	0.1
0.0005117799	0.2494766	0.1	0.0005117799	4.897934e-08	0.1	0.0005117799	0.0004069258	0.1	0.0005117799	3.017751e-05	0.1	0.0005117799	0.0007152777	0.1	0.0005117799	0.373312	0.1	0.0005117799	0.000859938	0.1	0.0005117799	0.0001042084	0.1	0.0005117799	1.776319e-05	0.1	0.0005117799	3.391502e-05	0.1	0.0005117799	8.092222e-11	0.1
