Batch	m_SP	18	T1a_L	C5H5	N1a	N1b	N1c	T2	T3	T4a	T4b	T4c	T4d	T4e	T4f	T4g	T4h	N7a	N7c	N7b																																	
4.205357e-09	1.0	0.1	4.205357e-09	0.0	0.1	4.205357e-09	0.0	0.1	4.205357e-09	0.0	0.1	4.205357e-09	0.0	0.1	4.205357e-09	0.0	0.1	4.205357e-09	0.0	0.1	4.205357e-09	0.0	0.1	4.205357e-09	0.0	0.1	4.205357e-09	0.0	0.1	4.205357e-09	0.0	0.1	4.205357e-09	0.0	0.1	4.205357e-09	0.0	0.1	4.205357e-09	0.0	0.1	4.205357e-09	0.0	0.1	4.205357e-09	0.0	0.1	4.205357e-09	0.0	0.1	4.205357e-09	0.0	0.1
4.427354e-09	0.9999999999999999	0.1	4.427354e-09	0.0	0.1	4.427354e-09	0.0	0.1	4.427354e-09	0.0	0.1	4.427354e-09	0.0	0.1	4.427354e-09	0.0	0.1	4.427354e-09	0.0	0.1	4.427354e-09	0.0	0.1	4.427354e-09	0.0	0.1	4.427354e-09	0.0	0.1	4.427354e-09	0.0	0.1	4.427354e-09	0.0	0.1	4.427354e-09	0.0	0.1	4.427354e-09	0.0	0.1	4.427354e-09	0.0	0.1	4.427354e-09	0.0	0.1	4.427354e-09	0.0	0.1	4.427354e-09	0.0	0.1
4.685315e-09	0.9999998999999999	0.1	4.685315e-09	0.0	0.1	4.685315e-09	0.0	0.1	4.685315e-09	0.0	0.1	4.685315e-09	0.0	0.1	4.685315e-09	0.0	0.1	4.685315e-09	0.0	0.1	4.685315e-09	0.0	0.1	4.685315e-09	0.0	0.1	4.685315e-09	0.0	0.1	4.685315e-09	0.0	0.1	4.685315e-09	0.0	0.1	4.685315e-09	0.0	0.1	4.685315e-09	0.0	0.1	4.685315e-09	0.0	0.1	4.685315e-09	0.0	0.1	4.685315e-09	0.0	0.1	4.685315e-09	0.0	0.1
4.952266e-09	1.00000004	0.1	4.952266e-09	0.0	0.1	4.952266e-09	0.0	0.1	4.952266e-09	0.0	0.1	4.952266e-09	0.0	0.1	4.952266e-09	0.0	0.1	4.952266e-09	0.0	0.1	4.952266e-09	0.0	0.1	4.952266e-09	0.0	0.1	4.952266e-09	0.0	0.1	4.952266e-09	0.0	0.1	4.952266e-09	0.0	0.1	4.952266e-09	0.0	0.1	4.952266e-09	0.0	0.1	4.952266e-09	0.0	0.1	4.952266e-09	0.0	0.1	4.952266e-09	0.0	0.1	4.952266e-09	0.0	0.1
5.219218e-09	1.00000011	0.1	5.219218e-09	0.0	0.1	5.219218e-09	0.0	0.1	5.219218e-09	0.0	0.1	5.219218e-09	0.0	0.1	5.219218e-09	0.0	0.1	5.219218e-09	0.0	0.1	5.219218e-09	0.0	0.1	5.219218e-09	0.0	0.1	5.219218e-09	0.0	0.1	5.219218e-09	0.0	0.1	5.219218e-09	0.0	0.1	5.219218e-09	0.0	0.1	5.219218e-09	0.0	0.1	5.219218e-09	0.0	0.1	5.219218e-09	0.0	0.1	5.219218e-09	0.0	0.1	5.219218e-09	0.0	0.1
5.486169e-09	1.00000006	0.1	5.486169e-09	0.0	0.1	5.486169e-09	0.0	0.1	5.486169e-09	0.0	0.1	5.486169e-09	0.0	0.1	5.486169e-09	0.0	0.1	5.486169e-09	0.0	0.1	5.486169e-09	0.0	0.1	5.486169e-09	0.0	0.1	5.486169e-09	0.0	0.1	5.486169e-09	0.0	0.1	5.486169e-09	0.0	0.1	5.486169e-09	0.0	0.1	5.486169e-09	0.0	0.1	5.486169e-09	0.0	0.1	5.486169e-09	0.0	0.1	5.486169e-09	0.0	0.1	5.486169e-09	0.0	0.1
5.753121e-09	0.9999999699999998	0.1	5.753121e-09	0.0	0.1	5.753121e-09	0.0	0.1	5.753121e-09	0.0	0.1	5.753121e-09	0.0	0.1	5.753121e-09	0.0	0.1	5.753121e-09	0.0	0.1	5.753121e-09	0.0	0.1	5.753121e-09	0.0	0.1	5.753121e-09	0.0	0.1	5.753121e-09	0.0	0.1	5.753121e-09	0.0	0.1	5.753121e-09	0.0	0.1	5.753121e-09	0.0	0.1	5.753121e-09	0.0	0.1	5.753121e-09	0.0	0.1	5.753121e-09	0.0	0.1	5.753121e-09	0.0	0.1
6.030872e-09	0.99999999	0.1	6.030872e-09	0.0	0.1	6.030872e-09	0.0	0.1	6.030872e-09	0.0	0.1	6.030872e-09	0.0	0.1	6.030872e-09	0.0	0.1	6.030872e-09	0.0	0.1	6.030872e-09	0.0	0.1	6.030872e-09	0.0	0.1	6.030872e-09	0.0	0.1	6.030872e-09	0.0	0.1	6.030872e-09	0.0	0.1	6.030872e-09	0.0	0.1	6.030872e-09	0.0	0.1	6.030872e-09	0.0	0.1	6.030872e-09	0.0	0.1	6.030872e-09	0.0	0.1	6.030872e-09	0.0	0.1
6.351822e-09	1.000000057	0.1	6.351822e-09	0.0	0.1	6.351822e-09	0.0	0.1	6.351822e-09	0.0	0.1	6.351822e-09	0.0	0.1	6.351822e-09	0.0	0.1	6.351822e-09	0.0	0.1	6.351822e-09	0.0	0.1	6.351822e-09	0.0	0.1	6.351822e-09	0.0	0.1	6.351822e-09	0.0	0.1	6.351822e-09	0.0	0.1	6.351822e-09	0.0	0.1	6.351822e-09	0.0	0.1	6.351822e-09	0.0	0.1	6.351822e-09	0.0	0.1	6.351822e-09	0.0	0.1	6.351822e-09	0.0	0.1
6.672772e-09	1.000000077	0.1	6.672772e-09	0.0	0.1	6.672772e-09	0.0	0.1	6.672772e-09	0.0	0.1	6.672772e-09	0.0	0.1	6.672772e-09	0.0	0.1	6.672772e-09	0.0	0.1	6.672772e-09	0.0	0.1	6.672772e-09	0.0	0.1	6.672772e-09	0.0	0.1	6.672772e-09	0.0	0.1	6.672772e-09	0.0	0.1	6.672772e-09	0.0	0.1	6.672772e-09	0.0	0.1	6.672772e-09	0.0	0.1	6.672772e-09	0.0	0.1	6.672772e-09	0.0	0.1	6.672772e-09	0.0	0.1
6.993722e-09	0.999999978	0.1	6.993722e-09	0.0	0.1	6.993722e-09	0.0	0.1	6.993722e-09	0.0	0.1	6.993722e-09	0.0	0.1	6.993722e-09	0.0	0.1	6.993722e-09	0.0	0.1	6.993722e-09	0.0	0.1	6.993722e-09	0.0	0.1	6.993722e-09	0.0	0.1	6.993722e-09	0.0	0.1	6.993722e-09	0.0	0.1	6.993722e-09	0.0	0.1	6.993722e-09	0.0	0.1	6.993722e-09	0.0	0.1	6.993722e-09	0.0	0.1	6.993722e-09	0.0	0.1	6.993722e-09	0.0	0.1
7.314672e-09	1.000000051	0.1	7.314672e-09	0.0	0.1	7.314672e-09	0.0	0.1	7.314672e-09	0.0	0.1	7.314672e-09	0.0	0.1	7.314672e-09	0.0	0.1	7.314672e-09	0.0	0.1	7.314672e-09	0.0	0.1	7.314672e-09	0.0	0.1	7.314672e-09	0.0	0.1	7.314672e-09	0.0	0.1	7.314672e-09	0.0	0.1	7.314672e-09	0.0	0.1	7.314672e-09	0.0	0.1	7.314672e-09	0.0	0.1	7.314672e-09	0.0	0.1	7.314672e-09	0.0	0.1	7.314672e-09	0.0	0.1
7.661484e-09	0.9999999890000001	0.1	7.661484e-09	0.0	0.1	7.661484e-09	0.0	0.1	7.661484e-09	0.0	0.1	7.661484e-09	0.0	0.1	7.661484e-09	0.0	0.1	7.661484e-09	0.0	0.1	7.661484e-09	0.0	0.1	7.661484e-09	0.0	0.1	7.661484e-09	0.0	0.1	7.661484e-09	0.0	0.1	7.661484e-09	0.0	0.1	7.661484e-09	0.0	0.1	7.661484e-09	0.0	0.1	7.661484e-09	0.0	0.1	7.661484e-09	0.0	0.1	7.661484e-09	0.0	0.1	7.661484e-09	0.0	0.1
