Batch	m_SP	11	N1a_L	N3	N4	N5	N6	N7a	N7c	N7b	Flvln	Nphln	Azln																			
9.946262e-12	0.9999999735	0.1	9.946262e-12	0.0	0.1	9.946262e-12	0.0	0.1	9.946262e-12	0.0	0.1	9.946262e-12	0.0	0.1	9.946262e-12	0.0	0.1	9.946262e-12	0.0	0.1	9.946262e-12	0.0	0.1	9.946262e-12	0.0	0.1	9.946262e-12	0.0	0.1	9.946262e-12	0.0	0.1
1.048838e-11	1.0000000356999998	0.1	1.048838e-11	0.0	0.1	1.048838e-11	0.0	0.1	1.048838e-11	0.0	0.1	1.048838e-11	0.0	0.1	1.048838e-11	0.0	0.1	1.048838e-11	0.0	0.1	1.048838e-11	0.0	0.1	1.048838e-11	0.0	0.1	1.048838e-11	0.0	0.1	1.048838e-11	0.0	0.1
1.105309e-11	1.0000000827	0.1	1.105309e-11	0.0	0.1	1.105309e-11	0.0	0.1	1.105309e-11	0.0	0.1	1.105309e-11	0.0	0.1	1.105309e-11	0.0	0.1	1.105309e-11	0.0	0.1	1.105309e-11	0.0	0.1	1.105309e-11	0.0	0.1	1.105309e-11	0.0	0.1	1.105309e-11	0.0	0.1
1.170816e-11	0.9999999498000001	0.1	1.170816e-11	0.0	0.1	1.170816e-11	0.0	0.1	1.170816e-11	0.0	0.1	1.170816e-11	0.0	0.1	1.170816e-11	0.0	0.1	1.170816e-11	0.0	0.1	1.170816e-11	0.0	0.1	1.170816e-11	0.0	0.1	1.170816e-11	0.0	0.1	1.170816e-11	0.0	0.1
1.239137e-11	0.9999999866	0.1	1.239137e-11	0.0	0.1	1.239137e-11	0.0	0.1	1.239137e-11	0.0	0.1	1.239137e-11	0.0	0.1	1.239137e-11	0.0	0.1	1.239137e-11	0.0	0.1	1.239137e-11	0.0	0.1	1.239137e-11	0.0	0.1	1.239137e-11	0.0	0.1	1.239137e-11	0.0	0.1
1.318713e-11	1.0000000183	0.1	1.318713e-11	0.0	0.1	1.318713e-11	0.0	0.1	1.318713e-11	0.0	0.1	1.318713e-11	0.0	0.1	1.318713e-11	0.0	0.1	1.318713e-11	0.0	0.1	1.318713e-11	0.0	0.1	1.318713e-11	0.0	0.1	1.318713e-11	0.0	0.1	1.318713e-11	0.0	0.1
1.405207e-11	1.0000000274	0.1	1.405207e-11	0.0	0.1	1.405207e-11	0.0	0.1	1.405207e-11	0.0	0.1	1.405207e-11	0.0	0.1	1.405207e-11	0.0	0.1	1.405207e-11	0.0	0.1	1.405207e-11	0.0	0.1	1.405207e-11	0.0	0.1	1.405207e-11	0.0	0.1	1.405207e-11	0.0	0.1
1.502079e-11	1.0000000049	0.1	1.502079e-11	0.0	0.1	1.502079e-11	0.0	0.1	1.502079e-11	0.0	0.1	1.502079e-11	0.0	0.1	1.502079e-11	0.0	0.1	1.502079e-11	0.0	0.1	1.502079e-11	0.0	0.1	1.502079e-11	0.0	0.1	1.502079e-11	0.0	0.1	1.502079e-11	0.0	0.1
1.61911e-11	1.0000000096000001	0.1	1.61911e-11	0.0	0.1	1.61911e-11	0.0	0.1	1.61911e-11	0.0	0.1	1.61911e-11	0.0	0.1	1.61911e-11	0.0	0.1	1.61911e-11	0.0	0.1	1.61911e-11	0.0	0.1	1.61911e-11	0.0	0.1	1.61911e-11	0.0	0.1	1.61911e-11	0.0	0.1
1.750937e-11	1.0000000206000002	0.1	1.750937e-11	0.0	0.1	1.750937e-11	0.0	0.1	1.750937e-11	0.0	0.1	1.750937e-11	0.0	0.1	1.750937e-11	0.0	0.1	1.750937e-11	0.0	0.1	1.750937e-11	0.0	0.1	1.750937e-11	0.0	0.1	1.750937e-11	0.0	0.1	1.750937e-11	0.0	0.1
