Batch	m_SP	11	W4_L	W2	W3	W6	R	P1	P2	P3	P4	P5	P6																			
3129.208	0.0235079122	0.1	3129.208	1.519348e-11	0.1	3129.208	6.410705e-07	0.1	3129.208	4.788289e-05	0.1	3129.208	5.165356e-09	0.1	3129.208	0.4882218	0.1	3129.208	1.712937e-08	0.1	3129.208	4.334763e-10	0.1	3129.208	1.596074e-12	0.1	3129.208	9.194579e-11	0.1	3129.208	5.398052e-20	0.1
3207.566	0.021724802400000003	0.1	3207.566	1.409169e-11	0.1	3207.566	5.951779e-07	0.1	3207.566	4.756592e-05	0.1	3207.566	4.961272e-09	0.1	3207.566	0.4891135	0.1	3207.566	1.645257e-08	0.1	3207.566	4.163489e-10	0.1	3207.566	1.537654e-12	0.1	3207.566	8.831285e-11	0.1	3207.566	5.18477e-20	0.1
3285.924	0.0200795899	0.1	3285.924	1.307513e-11	0.1	3285.924	5.528358e-07	0.1	3285.924	4.727439e-05	0.1	3285.924	4.765881e-09	0.1	3285.924	0.4899363	0.1	3285.924	1.58046e-08	0.1	3285.924	3.99951e-10	0.1	3285.924	1.4818e-12	0.1	3285.924	8.483467e-11	0.1	3285.924	4.980574e-20	0.1
3364.282	0.01856124265	0.1	3364.282	1.213697e-11	0.1	3364.282	5.137594e-07	0.1	3364.282	4.700614e-05	0.1	3364.282	4.578744e-09	0.1	3364.282	0.4906956	0.1	3364.282	1.518401e-08	0.1	3364.282	3.842459e-10	0.1	3364.282	1.428385e-12	0.1	3364.282	8.150342e-11	0.1	3364.282	4.785004e-20	0.1
3458.846	0.016883459019999998	0.1	3458.846	1.110032e-11	0.1	3458.846	4.705809e-07	0.1	3458.846	4.671061e-05	0.1	3458.846	4.363313e-09	0.1	3458.846	0.4915347	0.1	3458.846	1.446958e-08	0.1	3458.846	3.661662e-10	0.1	3458.846	1.367e-12	0.1	3458.846	7.766849e-11	0.1	3458.846	4.559864e-20	0.1
3530.17	0.01572066658	0.1	3530.17	1.038188e-11	0.1	3530.17	4.406566e-07	0.1	3530.17	4.650634e-05	0.1	3530.17	4.207976e-09	0.1	3530.17	0.4921162	0.1	3530.17	1.395444e-08	0.1	3530.17	3.531297e-10	0.1	3530.17	1.322817e-12	0.1	3530.17	7.490331e-11	0.1	3530.17	4.397527e-20	0.1
3594.521	0.01474142142	0.1	3594.521	9.776853e-12	0.1	3594.521	4.154562e-07	0.1	3594.521	4.633466e-05	0.1	3594.521	4.072851e-09	0.1	3594.521	0.4926059	0.1	3594.521	1.350633e-08	0.1	3594.521	3.417896e-10	0.1	3594.521	1.284442e-12	0.1	3594.521	7.249793e-11	0.1	3594.521	4.256313e-20	0.1
3678.534	0.013555431980000001	0.1	3678.534	9.044098e-12	0.1	3678.534	3.849359e-07	0.1	3678.534	4.612717e-05	0.1	3678.534	3.903304e-09	0.1	3678.534	0.493199	0.1	3678.534	1.294407e-08	0.1	3678.534	3.275606e-10	0.1	3678.534	1.236376e-12	0.1	3678.534	6.947979e-11	0.1	3678.534	4.079126e-20	0.1
3774.533	0.012317984439999999	0.1	3774.533	8.27956e-12	0.1	3774.533	3.53092e-07	0.1	3774.533	4.591119e-05	0.1	3774.533	3.718613e-09	0.1	3774.533	0.4938179	0.1	3774.533	1.233159e-08	0.1	3774.533	3.120607e-10	0.1	3774.533	1.184138e-12	0.1	3774.533	6.619208e-11	0.1	3774.533	3.886112e-20	0.1
3888.515	0.01099617086	0.1	3888.515	7.462911e-12	0.1	3888.515	3.190776e-07	0.1	3888.515	4.568105e-05	0.1	3888.515	3.511151e-09	0.1	3888.515	0.4944789	0.1	3888.515	1.164359e-08	0.1	3888.515	2.946497e-10	0.1	3888.515	1.125628e-12	0.1	3888.515	6.249899e-11	0.1	3888.515	3.6693e-20	0.1
