Batch	m_SP	12	N7a_L	N1b	N1c	N1a	N_2	N3	N4	N5	N6	Flvln	Nphln	Azln																					
6.310109e-12	1.0000000199999999	0.1	6.310109e-12	0.0	0.1	6.310109e-12	0.0	0.1	6.310109e-12	0.0	0.1	6.310109e-12	0.0	0.1	6.310109e-12	0.0	0.1	6.310109e-12	0.0	0.1	6.310109e-12	0.0	0.1	6.310109e-12	0.0	0.1	6.310109e-12	0.0	0.1	6.310109e-12	0.0	0.1	6.310109e-12	0.0	0.1
6.527251e-12	0.999999972	0.1	6.527251e-12	0.0	0.1	6.527251e-12	0.0	0.1	6.527251e-12	0.0	0.1	6.527251e-12	0.0	0.1	6.527251e-12	0.0	0.1	6.527251e-12	0.0	0.1	6.527251e-12	0.0	0.1	6.527251e-12	0.0	0.1	6.527251e-12	0.0	0.1	6.527251e-12	0.0	0.1	6.527251e-12	0.0	0.1
6.779523e-12	0.999999955	0.1	6.779523e-12	0.0	0.1	6.779523e-12	0.0	0.1	6.779523e-12	0.0	0.1	6.779523e-12	0.0	0.1	6.779523e-12	0.0	0.1	6.779523e-12	0.0	0.1	6.779523e-12	0.0	0.1	6.779523e-12	0.0	0.1	6.779523e-12	0.0	0.1	6.779523e-12	0.0	0.1	6.779523e-12	0.0	0.1
7.040577e-12	0.999999982	0.1	7.040577e-12	0.0	0.1	7.040577e-12	0.0	0.1	7.040577e-12	0.0	0.1	7.040577e-12	0.0	0.1	7.040577e-12	0.0	0.1	7.040577e-12	0.0	0.1	7.040577e-12	0.0	0.1	7.040577e-12	0.0	0.1	7.040577e-12	0.0	0.1	7.040577e-12	0.0	0.1	7.040577e-12	0.0	0.1
7.301631e-12	0.9999999589999999	0.1	7.301631e-12	0.0	0.1	7.301631e-12	0.0	0.1	7.301631e-12	0.0	0.1	7.301631e-12	0.0	0.1	7.301631e-12	0.0	0.1	7.301631e-12	0.0	0.1	7.301631e-12	0.0	0.1	7.301631e-12	0.0	0.1	7.301631e-12	0.0	0.1	7.301631e-12	0.0	0.1	7.301631e-12	0.0	0.1
7.562685e-12	0.999999953	0.1	7.562685e-12	0.0	0.1	7.562685e-12	0.0	0.1	7.562685e-12	0.0	0.1	7.562685e-12	0.0	0.1	7.562685e-12	0.0	0.1	7.562685e-12	0.0	0.1	7.562685e-12	0.0	0.1	7.562685e-12	0.0	0.1	7.562685e-12	0.0	0.1	7.562685e-12	0.0	0.1	7.562685e-12	0.0	0.1
7.82374e-12	0.999999999	0.1	7.82374e-12	0.0	0.1	7.82374e-12	0.0	0.1	7.82374e-12	0.0	0.1	7.82374e-12	0.0	0.1	7.82374e-12	0.0	0.1	7.82374e-12	0.0	0.1	7.82374e-12	0.0	0.1	7.82374e-12	0.0	0.1	7.82374e-12	0.0	0.1	7.82374e-12	0.0	0.1	7.82374e-12	0.0	0.1
8.084794e-12	1.000000055	0.1	8.084794e-12	0.0	0.1	8.084794e-12	0.0	0.1	8.084794e-12	0.0	0.1	8.084794e-12	0.0	0.1	8.084794e-12	0.0	0.1	8.084794e-12	0.0	0.1	8.084794e-12	0.0	0.1	8.084794e-12	0.0	0.1	8.084794e-12	0.0	0.1	8.084794e-12	0.0	0.1	8.084794e-12	0.0	0.1
8.345848e-12	0.999999927	0.1	8.345848e-12	0.0	0.1	8.345848e-12	0.0	0.1	8.345848e-12	0.0	0.1	8.345848e-12	0.0	0.1	8.345848e-12	0.0	0.1	8.345848e-12	0.0	0.1	8.345848e-12	0.0	0.1	8.345848e-12	0.0	0.1	8.345848e-12	0.0	0.1	8.345848e-12	0.0	0.1	8.345848e-12	0.0	0.1
8.606902e-12	1.0000000470000001	0.1	8.606902e-12	0.0	0.1	8.606902e-12	0.0	0.1	8.606902e-12	0.0	0.1	8.606902e-12	0.0	0.1	8.606902e-12	0.0	0.1	8.606902e-12	0.0	0.1	8.606902e-12	0.0	0.1	8.606902e-12	0.0	0.1	8.606902e-12	0.0	0.1	8.606902e-12	0.0	0.1	8.606902e-12	0.0	0.1
8.867957e-12	0.999999994	0.1	8.867957e-12	0.0	0.1	8.867957e-12	0.0	0.1	8.867957e-12	0.0	0.1	8.867957e-12	0.0	0.1	8.867957e-12	0.0	0.1	8.867957e-12	0.0	0.1	8.867957e-12	0.0	0.1	8.867957e-12	0.0	0.1	8.867957e-12	0.0	0.1	8.867957e-12	0.0	0.1	8.867957e-12	0.0	0.1
