Batch	m_SP	5	W1	W2	Pr1	Pr2	Pr3							
2.124431e+22	0.9892103	0.1	2.124431e+22	2.227506e-15	0.1	2.124431e+22	3.203535e-07	0.1	2.124431e+22	0.005394519	0.1	2.124431e+22	2.660701e-25	0.1
2.12444e+22	0.9892103	0.1	2.12444e+22	2.227506e-15	0.1	2.12444e+22	3.203535e-07	0.1	2.12444e+22	0.005394541	0.1	2.12444e+22	4.711946e-21	0.1
2.124468e+22	0.9892101	0.1	2.124468e+22	2.227506e-15	0.1	2.124468e+22	3.203535e-07	0.1	2.124468e+22	0.005394611	0.1	2.124468e+22	0.0	0.1
2.124549e+22	0.9892097	0.1	2.124549e+22	2.227505e-15	0.1	2.124549e+22	3.203534e-07	0.1	2.124549e+22	0.005394816	0.1	2.124549e+22	7.154263e-21	0.1
2.124732e+22	0.9892088	0.1	2.124732e+22	2.227503e-15	0.1	2.124732e+22	3.203531e-07	0.1	2.124732e+22	0.005395277	0.1	2.124732e+22	0.0	0.1
2.12522e+22	0.9892063	0.1	2.12522e+22	2.227497e-15	0.1	2.12522e+22	3.203525e-07	0.1	2.12522e+22	0.005396505	0.1	2.12522e+22	1.43388e-20	0.1
2.126357e+22	0.9892006	0.1	2.126357e+22	2.227484e-15	0.1	2.126357e+22	3.203512e-07	0.1	2.126357e+22	0.005399371	0.1	2.126357e+22	0.0	0.1
2.128958e+22	0.9891875	0.1	2.128958e+22	2.227455e-15	0.1	2.128958e+22	3.20348e-07	0.1	2.128958e+22	0.005405922	0.1	2.128958e+22	7.173706e-21	0.1
2.134811e+22	0.989158	0.1	2.134811e+22	2.227388e-15	0.1	2.134811e+22	3.203408e-07	0.1	2.134811e+22	0.005420662	0.1	2.134811e+22	0.0	0.1
2.150417e+22	0.9890794	0.1	2.150417e+22	2.227211e-15	0.1	2.150417e+22	3.203218e-07	0.1	2.150417e+22	0.005459964	0.1	2.150417e+22	1.434696e-20	0.1
2.186831e+22	0.9888961	0.1	2.186831e+22	2.226798e-15	0.1	2.186831e+22	3.202773e-07	0.1	2.186831e+22	0.00555165	0.1	2.186831e+22	0.0	0.1
2.207639e+22	0.9887913	0.1	2.207639e+22	2.461917e-15	0.1	2.207639e+22	3.202519e-07	0.1	2.207639e+22	0.00560403	0.1	2.207639e+22	0.0	0.1
2.207639e+22	0.9887913	0.1	2.207639e+22	2.544751e-15	0.1	2.207639e+22	3.202519e-07	0.1	2.207639e+22	0.00560403	0.1	2.207639e+22	0.0	0.1
2.207639e+22	0.9887913	0.1	2.207639e+22	2.564578e-15	0.1	2.207639e+22	3.202519e-07	0.1	2.207639e+22	0.00560403	0.1	2.207639e+22	0.0	0.1
2.207639e+22	0.9887913	0.1	2.207639e+22	2.58115e-15	0.1	2.207639e+22	3.202519e-07	0.1	2.207639e+22	0.00560403	0.1	2.207639e+22	0.0	0.1
2.207639e+22	0.9887913	0.1	2.207639e+22	2.226563e-15	0.1	2.207639e+22	3.202519e-07	0.1	2.207639e+22	0.00560403	0.1	2.207639e+22	4.329039e-16	0.1
2.207639e+22	0.9887913	0.1	2.207639e+22	2.226563e-15	0.1	2.207639e+22	3.202519e-07	0.1	2.207639e+22	0.00560403	0.1	2.207639e+22	0.0	0.1
2.207639e+22	0.9887913	0.1	2.207639e+22	2.226563e-15	0.1	2.207639e+22	3.202519e-07	0.1	2.207639e+22	0.00560403	0.1	2.207639e+22	0.0	0.1
2.207639e+22	0.9887913	0.1	2.207639e+22	2.226563e-15	0.1	2.207639e+22	3.202519e-07	0.1	2.207639e+22	0.00560403	0.1	2.207639e+22	0.0	0.1
2.207639e+22	0.9887913	0.1	2.207639e+22	2.226563e-15	0.1	2.207639e+22	3.202519e-07	0.1	2.207639e+22	0.00560403	0.1	2.207639e+22	6.604817e-29	0.1
2.207639e+22	0.9887913	0.1	2.207639e+22	2.226563e-15	0.1	2.207639e+22	3.202519e-07	0.1	2.207639e+22	0.00560403	0.1	2.207639e+22	3.904297e-28	0.1
2.207639e+22	0.9887913	0.1	2.207639e+22	2.226563e-15	0.1	2.207639e+22	3.202519e-07	0.1	2.207639e+22	0.005604031	0.1	2.207639e+22	1.430061e-27	0.1
2.207639e+22	0.9887913	0.1	2.207639e+22	2.226563e-15	0.1	2.207639e+22	3.202519e-07	0.1	2.207639e+22	0.005604031	0.1	2.207639e+22	5.180222e-27	0.1
2.20764e+22	0.9887913	0.1	2.20764e+22	2.226563e-15	0.1	2.20764e+22	3.202519e-07	0.1	2.20764e+22	0.005604032	0.1	2.20764e+22	1.707912e-26	0.1
2.207641e+22	0.9887913	0.1	2.207641e+22	2.226563e-15	0.1	2.207641e+22	3.202519e-07	0.1	2.207641e+22	0.005604035	0.1	2.207641e+22	5.179008e-26	0.1
2.207645e+22	0.9887913	0.1	2.207645e+22	2.226562e-15	0.1	2.207645e+22	3.202519e-07	0.1	2.207645e+22	0.005604046	0.1	2.207645e+22	1.733899e-25	0.1
2.207659e+22	0.9887912	0.1	2.207659e+22	2.226562e-15	0.1	2.207659e+22	3.202519e-07	0.1	2.207659e+22	0.005604082	0.1	2.207659e+22	1.76649e-20	0.1
2.2077e+22	0.988791	0.1	2.2077e+22	2.226562e-15	0.1	2.2077e+22	3.202518e-07	0.1	2.2077e+22	0.005604184	0.1	2.2077e+22	0.0	0.1
2.207842e+22	0.9887903	0.1	2.207842e+22	2.22656e-15	0.1	2.207842e+22	3.202517e-07	0.1	2.207842e+22	0.005604542	0.1	2.207842e+22	1.220145e-20	0.1
2.208208e+22	0.9887884	0.1	2.208208e+22	2.226556e-15	0.1	2.208208e+22	3.202512e-07	0.1	2.208208e+22	0.005605463	0.1	2.208208e+22	0.0	0.1
2.209183e+22	0.9887835	0.1	2.209183e+22	2.226545e-15	0.1	2.209183e+22	3.2025e-07	0.1	2.209183e+22	0.005607918	0.1	2.209183e+22	3.665924e-20	0.1
2.211459e+22	0.9887721	0.1	2.211459e+22	2.226519e-15	0.1	2.211459e+22	3.202473e-07	0.1	2.211459e+22	0.005613646	0.1	2.211459e+22	0.0	0.1
2.216661e+22	0.9887459	0.1	2.216661e+22	2.22646e-15	0.1	2.216661e+22	3.202409e-07	0.1	2.216661e+22	0.00562674	0.1	2.216661e+22	1.834346e-20	0.1
2.228366e+22	0.988687	0.1	2.228366e+22	2.226328e-15	0.1	2.228366e+22	3.202266e-07	0.1	2.228366e+22	0.005656198	0.1	2.228366e+22	0.0	0.1
2.259578e+22	0.9885299	0.1	2.259578e+22	2.225974e-15	0.1	2.259578e+22	3.201885e-07	0.1	2.259578e+22	0.005734741	0.1	2.259578e+22	3.668288e-20	0.1
2.332406e+22	0.9881635	0.1	2.332406e+22	2.225149e-15	0.1	2.332406e+22	3.200997e-07	0.1	2.332406e+22	0.005917936	0.1	2.332406e+22	1.475674e-20	0.1
