Batch	m_SP	7	W4_L	W3	R	P1	P2_L	P3	P4											
4.654394e-08	0.4549646	0.1	4.654394e-08	0.001052403	0.1	4.654394e-08	0.02380315	0.1	4.654394e-08	0.2252809	0.1	4.654394e-08	0.016539179	0.1	4.654394e-08	0.005208757	0.1	4.654394e-08	0.000483538	0.1
4.887588e-08	0.4409458	0.1	4.887588e-08	0.001084906	0.1	4.887588e-08	0.02337444	0.1	4.887588e-08	0.2331224	0.1	4.887588e-08	0.016213352	0.1	4.887588e-08	0.005107374	0.1	4.887588e-08	0.0005039432	0.1
5.130348e-08	0.4269567	0.1	5.130348e-08	0.001117103	0.1	5.130348e-08	0.02293366	0.1	5.130348e-08	0.2409651	0.1	5.130348e-08	0.015884744	0.1	5.130348e-08	0.005004862	0.1	5.130348e-08	0.0005245534	0.1
5.411373e-08	0.4114853	0.1	5.411373e-08	0.001152405	0.1	5.411373e-08	0.02243324	0.1	5.411373e-08	0.249657	0.1	5.411373e-08	0.015517483	0.1	5.411373e-08	0.004890044	0.1	5.411373e-08	0.0005476347	0.1
5.692398e-08	0.3967401	0.1	5.692398e-08	0.001185723	0.1	5.692398e-08	0.02194537	0.1	5.692398e-08	0.2579567	0.1	5.692398e-08	0.015163831999999999	0.1	5.692398e-08	0.004779291	0.1	5.692398e-08	0.0005699131	0.1
5.973422e-08	0.3826744	0.1	5.973422e-08	0.001217183	0.1	5.973422e-08	0.02147127	0.1	5.973422e-08	0.2658871	0.1	5.973422e-08	0.014823224000000001	0.1	5.973422e-08	0.004672487	0.1	5.973422e-08	0.000591421	0.1
6.300973e-08	0.3670812	0.1	6.300973e-08	0.001251666	0.1	6.300973e-08	0.02093678	0.1	6.300973e-08	0.2746925	0.1	6.300973e-08	0.014441894	0.1	6.300973e-08	0.0045528	0.1	6.300973e-08	0.0006155585	0.1
6.640154e-08	0.3517815	0.1	6.640154e-08	0.001285068	0.1	6.640154e-08	0.02040404	0.1	6.640154e-08	0.2833457	0.1	6.640154e-08	0.014063870999999999	0.1	6.640154e-08	0.004434053	0.1	6.640154e-08	0.0006395444	0.1
6.979336e-08	0.3372834	0.1	6.979336e-08	0.0013163	0.1	6.979336e-08	0.01989205	0.1	6.979336e-08	0.2915575	0.1	6.979336e-08	0.013701971	0.1	6.979336e-08	0.00432031	0.1	6.979336e-08	0.0006625525	0.1
7.388724e-08	0.320774	0.1	7.388724e-08	0.001351336	0.1	7.388724e-08	0.01930084	0.1	7.388724e-08	0.3009228	0.1	7.388724e-08	0.013285271	0.1	7.388724e-08	0.004189289	0.1	7.388724e-08	0.0006890859	0.1
7.798111e-08	0.3052646	0.1	7.798111e-08	0.001383702	0.1	7.798111e-08	0.01873752	0.1	7.798111e-08	0.309735	0.1	7.798111e-08	0.012889058	0.1	7.798111e-08	0.004064673	0.1	7.798111e-08	0.000714337	0.1
8.259445e-08	0.2888883	0.1	8.259445e-08	0.001417264	0.1	8.259445e-08	0.01813417	0.1	8.259445e-08	0.3190554	0.1	8.259445e-08	0.012465299	0.1	8.259445e-08	0.003931365	0.1	8.259445e-08	0.0007413419	0.1
8.755409e-08	0.2724743	0.1	8.755409e-08	0.001450231	0.1	8.755409e-08	0.01752019	0.1	8.755409e-08	0.3284144	0.1	8.755409e-08	0.012034493	0.1	8.755409e-08	0.003795818	0.1	8.755409e-08	0.0007687599	0.1
9.312986e-08	0.2553623	0.1	9.312986e-08	0.001483832	0.1	9.312986e-08	0.01686949	0.1	9.312986e-08	0.3381916	0.1	9.312986e-08	0.011578192000000001	0.1	9.312986e-08	0.00365224	0.1	9.312986e-08	0.0007977121	0.1
9.911638e-08	0.238419	0.1	9.911638e-08	0.001516272	0.1	9.911638e-08	0.01621349	0.1	9.911638e-08	0.3478947	0.1	9.911638e-08	0.011118341	0.1	9.911638e-08	0.003507536	0.1	9.911638e-08	0.0008267377	0.1
1.060787e-07	0.2203834	0.1	1.060787e-07	0.001549824	0.1	1.060787e-07	0.01550086	0.1	1.060787e-07	0.3582509	0.1	1.060787e-07	0.010618882999999999	0.1	1.060787e-07	0.003350363	0.1	1.060787e-07	0.0008580048	0.1
1.135815e-07	0.2027366	0.1	1.135815e-07	0.001581589	0.1	1.135815e-07	0.01478734	0.1	1.135815e-07	0.3684153	0.1	1.135815e-07	0.010118815	0.1	1.135815e-07	0.003192998	0.1	1.135815e-07	0.0008889324	0.1
1.222702e-07	0.1843421	0.1	1.222702e-07	0.001613469	0.1	1.222702e-07	0.01402377	0.1	1.222702e-07	0.3790488	0.1	1.222702e-07	0.009583643	0.1	1.222702e-07	0.003024587	0.1	1.222702e-07	0.0009214649	0.1
1.325217e-07	0.1650893	0.1	1.325217e-07	0.001645333	0.1	1.325217e-07	0.01319902	0.1	1.325217e-07	0.3902282	0.1	1.325217e-07	0.00900553	0.1	1.325217e-07	0.002842665	0.1	1.325217e-07	0.0009557398	0.1
1.440807e-07	0.146105	0.1	1.440807e-07	0.001675038	0.1	1.440807e-07	0.01235492	0.1	1.440807e-07	0.4013118	0.1	1.440807e-07	0.008413771	0.1	1.440807e-07	0.002656453	0.1	1.440807e-07	0.0009896118	0.1
1.57015e-07	0.1277513	0.1	1.57015e-07	0.001701861	0.1	1.57015e-07	0.01150301	0.1	1.57015e-07	0.4120973	0.1	1.57015e-07	0.007816457	0.1	1.57015e-07	0.002468497	0.1	1.57015e-07	0.001022216	0.1
1.699493e-07	0.1119585	0.1	1.699493e-07	0.001723154	0.1	1.699493e-07	0.01073489	0.1	1.699493e-07	0.4214467	0.1	1.699493e-07	0.0072778240000000004	0.1	1.699493e-07	0.00229901	0.1	1.699493e-07	0.001049922	0.1
