t[s](1)             T0[K](2)            P0[Pa](3)           V0[m3](4)           T[K](5)             P[Pa](6)            V[m3](7)            rho[kg/m3](8)       MW[kg/kmol](9)      W1_x(10)        W2_x(11)        W3_x(12)        W4_x(13)        W5_x(14)        W6_x(15)        R_x(16)         P1_x(17)        P2_x(18)        P3_x(19)        P4_x(20)        P5_x(21)        P6_x(22)        H_x(23)         W1_w(24)        W2_w(25)        W3_w(26)        W4_w(27)        W5_w(28)        W6_w(29)        R_w(30)         P1_w(31)        P2_w(32)        P3_w(33)        P4_w(34)        P5_w(35)        P6_w(36)        H_w(37)         
2.771524e-09        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        4.046531e-07    1.064610e-11    1.044429e-10    3.693343e-06    5.802383e-06    2.088858e-09    6.508760e-09    4.091941e-08    4.641906e-08    2.327387e-09    3.627751e-14    1.342116e-09    3.531748e-18    9.999900e-01    3.293266e-05    8.664319e-10    8.500078e-09    3.005824e-04    4.722265e-04    1.700015e-07    5.232114e-07    3.289337e-06    3.731430e-06    1.870887e-07    2.916194e-12    1.078870e-07    2.839021e-16    9.991862e-01    
3.014494e-09        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        4.047021e-07    1.064739e-11    1.044555e-10    3.693789e-06    5.803085e-06    2.089110e-09    6.509547e-09    4.092436e-08    4.642468e-08    1.117789e-09    3.628190e-14    1.342279e-09    2.563902e-18    9.999900e-01    3.293665e-05    8.665366e-10    8.501106e-09    3.006188e-04    4.722836e-04    1.700221e-07    5.232747e-07    3.289735e-06    3.731882e-06    8.985427e-08    2.916547e-12    1.079001e-07    2.061011e-16    9.991862e-01    
3.289120e-09        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        4.047276e-07    1.064805e-11    1.044621e-10    3.694022e-06    5.803450e-06    2.089242e-09    6.509957e-09    4.092694e-08    4.642760e-08    4.879409e-10    3.628418e-14    1.342363e-09    1.782965e-18    9.999900e-01    3.293872e-05    8.665911e-10    8.501642e-09    3.006377e-04    4.723134e-04    1.700328e-07    5.233077e-07    3.289942e-06    3.732117e-06    3.922349e-08    2.916731e-12    1.079068e-07    1.433249e-16    9.991862e-01    
3.608205e-09        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        4.047398e-07    1.064837e-11    1.044653e-10    3.694134e-06    5.803625e-06    2.089305e-09    6.510154e-09    4.092817e-08    4.642900e-08    1.862413e-10    3.628528e-14    1.342404e-09    1.167850e-18    9.999900e-01    3.293972e-05    8.666171e-10    8.501898e-09    3.006468e-04    4.723276e-04    1.700379e-07    5.233234e-07    3.290041e-06    3.732229e-06    1.497114e-08    2.916819e-12    1.079101e-07    9.387849e-17    9.991862e-01    
3.971819e-09        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        4.047448e-07    1.064850e-11    1.044666e-10    3.694179e-06    5.803697e-06    2.089331e-09    6.510234e-09    4.092868e-08    4.642958e-08    6.213540e-11    3.628573e-14    1.342420e-09    7.205057e-19    9.999900e-01    3.294013e-05    8.666277e-10    8.502004e-09    3.006505e-04    4.723335e-04    1.700400e-07    5.233299e-07    3.290082e-06    3.732276e-06    4.994800e-09    2.916855e-12    1.079114e-07    5.791838e-17    9.991862e-01    
4.385553e-09        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        4.047466e-07    1.064855e-11    1.044670e-10    3.694196e-06    5.803723e-06    2.089340e-09    6.510263e-09    4.092886e-08    4.642978e-08    1.782790e-11    3.628589e-14    1.342426e-09    4.156522e-19    9.999900e-01    3.294027e-05    8.666314e-10    8.502042e-09    3.006519e-04    4.723356e-04    1.700408e-07    5.233323e-07    3.290097e-06    3.732292e-06    1.433108e-09    2.916868e-12    1.079119e-07    3.341250e-17    9.991862e-01    
4.920143e-09        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        4.047472e-07    1.064856e-11    1.044672e-10    3.694201e-06    5.803731e-06    2.089343e-09    6.510272e-09    4.092892e-08    4.642985e-08    3.550280e-12    3.628594e-14    1.342428e-09    2.041009e-19    9.999900e-01    3.294032e-05    8.666324e-10    8.502054e-09    3.006523e-04    4.723362e-04    1.700410e-07    5.233330e-07    3.290101e-06    3.732297e-06    2.853918e-10    2.916872e-12    1.079121e-07    1.640680e-17    9.991862e-01    
5.579212e-09        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        4.047473e-07    1.064856e-11    1.044672e-10    3.694202e-06    5.803733e-06    2.089344e-09    6.510274e-09    4.092893e-08    4.642986e-08    4.731632e-13    3.628595e-14    1.342429e-09    8.489577e-20    9.999900e-01    3.294033e-05    8.666324e-10    8.502057e-09    3.006524e-04    4.723364e-04    1.700411e-07    5.233332e-07    3.290102e-06    3.732299e-06    3.803557e-11    2.916873e-12    1.079121e-07    6.824408e-18    9.991862e-01    
6.399685e-09        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        4.047473e-07    1.064856e-11    1.044672e-10    3.694202e-06    5.803733e-06    2.089344e-09    6.510275e-09    4.092894e-08    4.642987e-08    3.425176e-14    3.628595e-14    1.342429e-09    2.847845e-20    9.999900e-01    3.294033e-05    8.666321e-10    8.502058e-09    3.006524e-04    4.723364e-04    1.700411e-07    5.233332e-07    3.290102e-06    3.732299e-06    2.753353e-12    2.916873e-12    1.079121e-07    2.289261e-18    9.991862e-01    
7.533829e-09        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        4.047473e-07    1.064855e-11    1.044672e-10    3.694202e-06    5.803733e-06    2.089344e-09    6.510275e-09    4.092894e-08    4.642987e-08    9.441801e-16    3.628595e-14    1.342429e-09    6.294423e-21    9.999900e-01    3.294033e-05    8.666316e-10    8.502058e-09    3.006524e-04    4.723364e-04    1.700411e-07    5.233332e-07    3.290102e-06    3.732299e-06    7.589861e-14    2.916873e-12    1.079121e-07    5.059818e-19    9.991862e-01    
9.575289e-09        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        4.047473e-07    1.064854e-11    1.044672e-10    3.694202e-06    5.803733e-06    2.089344e-09    6.510275e-09    4.092894e-08    4.642987e-08    9.697691e-16    3.628595e-14    1.342429e-09    5.346584e-22    9.999900e-01    3.294033e-05    8.666308e-10    8.502059e-09    3.006524e-04    4.723364e-04    1.700411e-07    5.233332e-07    3.290102e-06    3.732299e-06    7.795560e-14    2.916873e-12    1.079121e-07    4.297890e-20    9.991862e-01    
1.320455e-08        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        4.047473e-07    1.064852e-11    1.044673e-10    3.694202e-06    5.803733e-06    2.089344e-09    6.510275e-09    4.092894e-08    4.642987e-08    1.121030e-24    3.628595e-14    1.342429e-09    9.356581e-24    9.999900e-01    3.294033e-05    8.666293e-10    8.502061e-09    3.006524e-04    4.723364e-04    1.700411e-07    5.233332e-07    3.290102e-06    3.732299e-06    9.011481e-23    2.916873e-12    1.079121e-07    7.521356e-22    9.991862e-01    
2.046308e-08        8.000000e+02        1.013250e+05        1.000000e-06        8.000000e+02        1.013240e+05        1.000000e-06        1.536731e-02        1.008811e+00        4.047473e-07    1.064849e-11    1.044673e-10    3.694202e-06    5.803733e-06    2.089344e-09    6.510275e-09    4.092894e-08    4.642987e-08    1.439711e-26    3.628595e-14    1.342429e-09    1.194198e-36    9.999900e-01    3.294033e-05    8.666263e-10    8.502064e-09    3.006524e-04    4.723364e-04    1.700411e-07    5.233332e-07    3.290102e-06    3.732299e-06    1.157322e-24    2.916873e-12    1.079121e-07    9.599651e-35    9.991862e-01    
